timestamp,time,timestamp6,time2,timestamp2,time3,timestamp3,time9
1745973599.582,0.1140756607055664,1745973599.582,0.1140756607055664,1745973599.582,0.1140756607055664,1745973599.582,0.1140756607055664
1745973599.826,0.3581228256225586,1745973599.826,0.3581228256225586,1745973599.826,0.3581228256225586,1745973599.826,0.3581228256225586
1745973600.072,0.6047458648681641,1745973600.072,0.6047458648681641,1745973600.072,0.6047458648681641,1745973600.072,0.6047458648681641
1745973600.349,0.8813395500183105,1745973600.349,0.8813395500183105,1745973600.349,0.8813395500183105,1745973600.349,0.8813395500183105
1745973600.615,1.147468090057373,1745973600.615,1.147468090057373,1745973600.615,1.147468090057373,1745973600.615,1.147468090057373
1745973600.878,1.4098970890045166,1745973600.878,1.4098970890045166,1745973600.878,1.4098970890045166,1745973600.878,1.4098970890045166
1745973601.125,1.6569550037384033,1745973601.125,1.6569550037384033,1745973601.125,1.6569550037384033,1745973601.125,1.6569550037384033
1745973601.374,1.9064364433288574,1745973601.374,1.9064364433288574,1745973601.374,1.9064364433288574,1745973601.374,1.9064364433288574
1745973601.637,2.1691269874572754,1745973601.637,2.1691269874572754,1745973601.637,2.1691269874572754,1745973601.637,2.1691269874572754
1745973601.884,2.4166908264160156,1745973601.884,2.4166908264160156,1745973601.884,2.4166908264160156,1745973601.884,2.4166908264160156
1745973602.162,2.6942121982574463,1745973602.162,2.6942121982574463,1745973602.162,2.6942121982574463,1745973602.162,2.6942121982574463
1745973602.386,2.9187729358673096,1745973602.386,2.9187729358673096,1745973602.386,2.9187729358673096,1745973602.386,2.9187729358673096
1745973602.641,3.1737148761749268,1745973602.641,3.1737148761749268,1745973602.641,3.1737148761749268,1745973602.641,3.1737148761749268
1745973602.907,3.4389195442199707,1745973602.907,3.4389195442199707,1745973602.907,3.4389195442199707,1745973602.907,3.4389195442199707
1745973603.168,3.699868679046631,1745973603.168,3.699868679046631,1745973603.168,3.699868679046631,1745973603.168,3.699868679046631
1745973603.43,3.9624252319335938,1745973603.43,3.9624252319335938,1745973603.43,3.9624252319335938,1745973603.43,3.9624252319335938
1745973603.688,4.2206175327301025,1745973603.688,4.2206175327301025,1745973603.688,4.2206175327301025,1745973603.688,4.2206175327301025
1745973603.958,4.490273714065552,1745973603.958,4.490273714065552,1745973603.958,4.490273714065552,1745973603.958,4.490273714065552
1745973604.204,4.736495018005371,1745973604.204,4.736495018005371,1745973604.204,4.736495018005371,1745973604.204,4.736807823181152
1745973604.467,4.999057292938232,1745973604.467,4.999057292938232,1745973604.467,4.999057292938232,1745973604.467,4.999057292938232
1745973604.713,5.24501633644104,1745973604.713,5.24501633644104,1745973604.713,5.24501633644104,1745973604.713,5.24501633644104
1745973604.992,5.52391242980957,1745973604.992,5.52391242980957,1745973604.992,5.52391242980957,1745973604.992,5.52391242980957
1745973605.238,5.770440340042114,1745973605.238,5.770440340042114,1745973605.238,5.770440340042114,1745973605.238,5.770440340042114
1745973605.498,6.030538320541382,1745973605.498,6.030538320541382,1745973605.498,6.030538320541382,1745973605.498,6.030538320541382
1745973605.761,6.293580532073975,1745973605.761,6.293580532073975,1745973605.761,6.293580532073975,1745973605.761,6.293580532073975
1745973606.037,6.569227457046509,1745973606.037,6.569227457046509,1745973606.037,6.569227457046509,1745973606.037,6.569227457046509
1745973606.287,6.819089412689209,1745973606.287,6.819089412689209,1745973606.287,6.819089412689209,1745973606.287,6.819089412689209
1745973606.552,7.083917140960693,1745973606.552,7.083917140960693,1745973606.552,7.083917140960693,1745973606.552,7.083917140960693
1745973606.814,7.345994472503662,1745973606.814,7.345994472503662,1745973606.814,7.345994472503662,1745973606.814,7.345994472503662
1745973607.074,7.606159925460815,1745973607.074,7.606159925460815,1745973607.074,7.606159925460815,1745973607.074,7.606159925460815
1745973607.337,7.869239568710327,1745973607.337,7.869239568710327,1745973607.337,7.869239568710327,1745973607.337,7.869239568710327
1745973607.6,8.132347106933594,1745973607.6,8.132347106933594,1745973607.6,8.132347106933594,1745973607.6,8.132347106933594
1745973607.863,8.394945621490479,1745973607.863,8.394945621490479,1745973607.863,8.394945621490479,1745973607.863,8.394945621490479
1745973608.124,8.65670371055603,1745973608.124,8.65670371055603,1745973608.124,8.65670371055603,1745973608.124,8.65670371055603
1745973608.386,8.918153524398804,1745973608.386,8.918153524398804,1745973608.386,8.918153524398804,1745973608.386,8.918153524398804
1745973608.648,9.180037498474121,1745973608.648,9.180037498474121,1745973608.648,9.180037498474121,1745973608.648,9.180037498474121
1745973608.906,9.438607931137085,1745973608.906,9.438607931137085,1745973608.906,9.438607931137085,1745973608.906,9.438607931137085
1745973609.151,9.682888507843018,1745973609.151,9.682888507843018,1745973609.151,9.688740253448486,1745973609.156,9.688882112503052
1745973609.406,9.938050031661987,1745973609.406,9.938050031661987,1745973609.406,9.938050031661987,1745973609.406,9.938050031661987
1745973609.667,10.199001789093018,1745973609.667,10.199001789093018,1745973609.667,10.199001789093018,1745973609.667,10.199001789093018
1745973609.943,10.475834608078003,1745973609.943,10.475834608078003,1745973609.943,10.475834608078003,1745973609.943,10.475834608078003
1745973610.204,10.736021518707275,1745973610.204,10.736021518707275,1745973610.204,10.736021518707275,1745973610.204,10.736021518707275
1745973610.463,10.995818853378296,1745973610.463,10.995818853378296,1745973610.463,10.995818853378296,1745973610.463,10.995818853378296
1745973610.738,11.27005386352539,1745973610.738,11.27005386352539,1745973610.738,11.27005386352539,1745973610.738,11.27005386352539
1745973610.986,11.518038272857666,1745973610.986,11.518038272857666,1745973610.986,11.518038272857666,1745973610.986,11.518038272857666
